Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6)
3.7272556906111763e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.4999844393821421e-16,4.831232304935988e-19,9.1759400311518223e-30,4.831232304844229e-19
1.0436315933711294e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.199956430269698e-16,1.3527450454118064e-18,5.5422677788154073e-29,1.3527450453563835e-18
2.3854436419911527e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,9.5999004120436207e-16,3.0919886753671404e-18,2.6683633610585108e-28,3.0919886751003047e-18
5.0690677392312e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999789,2.0399788375586687e-15,6.5704759357534854e-18,1.1653443839558274e-27,6.5704759345881414e-18
1.0436315933711293e-17,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999589,4.1999564302653747e-15,1.3527450458428878e-17,4.8650834045126112e-27,1.3527450453563797e-17
2.117081232267148e-17,0.11224537200000048,0.0,0.0,0.0,0.0,0.99999999999999145,8.5199116156711508e-15,2.7441399511390482e-17,1.9875453145041499e-26,2.744139949151503e-17
4.2639805100591856e-17,0.11224537200000095,0.0,0.0,0.0,0.0,0.9999999999999829,1.7159821986452166e-14,5.5269297647756957e-17,8.0339759423664572e-26,5.5269297567417205e-17
8.557779065643261e-17,0.11224537200000194,0.0,0.0,0.0,0.0,0.99999999999996558,3.4439642727892052e-14,1.1092509404226297e-16,3.2304263917040402e-25,1.1092509371922032e-16
1.714537617681141e-16,0.1122453720000039,0.0,0.0,0.0,0.0,0.99999999999993061,6.8999284210283205e-14,2.2223668731836714e-16,1.2955454674157119e-24,2.2223668602282171e-16
3.432057039914771e-16,0.11224537200000781,0.0,0.0,0.0,0.0,0.999999999999861,1.3811856717311113e-13,4.4485987581894443e-16,5.1889393988644944e-24,4.4485987063000504e-16
6.867095884382031e-16,0.11224537200001561,0.0,0.0,0.0,0.0,0.99999999999972189,2.7635713309094943e-13,8.9010626061357509e-16,2.0769280361201552e-23,8.901062398442947e-16
1.373717357331655e-15,0.11224537200003123,0.0,0.0,0.0,0.0,0.99999999999944356,5.5283426489535553e-13,1.7805990613767382e-15,8.3104174680488066e-23,1.7805989782725638e-15
2.747732895118559e-15,0.11224537200006247,0.0,0.0,0.0,0.0,0.99999999999888711,1.1057885283790859e-12,3.5615847875986756e-15,3.3247081287234654e-22,3.5615844551278631e-15
5.495763970692367e-15,0.11224537200012491,0.0,0.0,0.0,0.0,0.99999999999777411,2.2116970548462217e-12,7.1235567388249908e-15,1.3299914872678927e-21,7.123555408833506e-15
1.0991826121839982e-14,0.11224537200024987,0.0,0.0,0.0,0.0,0.99999999999554801,4.4235141057791874e-12,1.4247502636407393e-14,5.3201824264957942e-21,1.4247497316224965e-14
2.1983950424135212e-14,0.11224537200049972,0.0,0.0,0.0,0.0,0.9999999999910959,8.8471481996399039e-12,2.8495402412091249e-14,2.12811626538148e-20,2.8495381130928598e-14
4.396819902872567e-14,0.11224537200099949,0.0,0.0,0.0,0.0,0.99999999998219136,1.7694416355340463e-11,5.6991233885535068e-14,8.5125516400833203e-20,5.6991148760018661e-14
8.793669623790661e-14,0.11224537200199891,0.0,0.0,0.0,0.0,0.99999999996438316,3.5388952538658118e-11,1.1398302452072617e-13,3.4050379623981327e-19,1.1398268401692992e-13
1.7587369065626847e-13,0.11224537200399785,0.0,0.0,0.0,0.0,0.99999999992876598,7.0778024392959423e-11,2.2796711654431481e-13,1.3620186387009144e-18,2.2796575452567604e-13
3.517476794929922e-13,0.11224537200799568,0.0,0.0,0.0,0.0,0.99999999985753207,1.415561660522256e-10,4.5593734360425855e-13,5.4480814019826205e-18,4.559318955228566e-13
7.034956571664397e-13,0.11224537201599141,0.0,0.0,0.0,0.0,0.99999999971506359,2.83112441173408e-10,9.1188596977473578e-13,2.1792338819799291e-17,9.1186417743591594e-13
1e-12,0.11224537203198279,0.0,0.0,0.0,0.0,0.99999999959497066,4.0243663956323761e-10,1.2962395480676951e-12,4.9346976264739008e-17,1.2961902010914302e-12
1.4069916125133346e-12,0.11224537203198279,0.0,0.0,0.0,0.0,0.99999999943012752,5.6622495862634128e-10,1.8238159103142518e-12,8.7169377842964041e-17,1.8237287409364088e-12
2.813983523207124e-12,0.11224537206396556,0.0,0.0,0.0,0.0,0.99999999886025448,1.132449862374224e-09,3.6478065441571043e-12,3.4867752561950517e-16,3.6474578666314851e-12
4.2209754339009136e-12,0.11224537209594837,0.0,0.0,0.0,0.0,0.99999999829038155,1.6986746348831005e-09,5.4719279304734409e-12,7.4093971713331804e-16,5.4711869907563061e-12
5.627967344594703e-12,0.11224537212793113,0.0,0.0,0.0,0.0,0.99999999772050829,2.2648992761526175e-09,7.296180069232754e-12,1.2639559264100069e-15,7.2949161133063447e-12
8.441951165982282e-12,0.11224537219189669,0.0,0.0,0.0,0.0,0.99999999658076166,3.3973482504687752e-09,1.094499121395614e-11,2.6168599420996358e-15,1.0942374354014041e-11
